PLAYER_ID,PLAYER_NAME,TEAM,OPPONENT,H2H_GAMES,H2H_GAMES_CURRENT_SEASON,H2H_GAMES_PRIOR_SEASON,DAYS_SINCE_LAST_H2H,L3_H2H_GAMES,L5_H2H_GAMES,H2H_AVG_PTS,H2H_MEDIAN_PTS,H2H_STD_PTS,H2H_MIN_PTS,H2H_MAX_PTS,L3_H2H_AVG_PTS,L5_H2H_AVG_PTS,H2H_PTS_TREND,H2H_CURRENT_SEASON_AVG_PTS,H2H_SEASON_DRIFT,H2H_HOME_AVG_PTS,H2H_AWAY_AVG_PTS,H2H_HOME_AWAY_DIFF,H2H_WL_PTS_DIFF,H2H_AVG_FGA,H2H_FGA_VS_OVERALL,H2H_AVG_FTA,H2H_FTA_VS_OVERALL,H2H_AVG_MIN,H2H_MIN_VS_OVERALL,H2H_USAGE_VS_OVERALL,L3_H2H_AVG_FGA,H2H_FG_PCT,H2H_FG3_PCT,H2H_FT_PCT,H2H_TS_PCT,H2H_EFG_PCT,H2H_TS_VS_OVERALL,L3_H2H_FG_PCT,L3_H2H_TS_PCT,H2H_AVG_PLUS_MINUS,H2H_WINS,H2H_LOSSES,H2H_WIN_AVG_PTS,H2H_LOSS_AVG_PTS,H2H_BLOWOUT_GAMES,H2H_AVG_REB,H2H_AVG_AST,H2H_AVG_STL,H2H_AVG_BLK,H2H_AVG_TOV,H2H_AVG_PTS_REB_AST,H2H_CONFIDENCE,H2H_SCORING_PROFILE,H2H_PREDICTABILITY,H2H_RECENCY_WEIGHT
1630639.0,A.J. Lawson,TOR,BKN,2,0.0,2.0,362,2.0,2.0,7.5,7.5,7.78,2.0,13.0,7.5,7.5,0.0,,,,7.5,,,7.5,1.9,1.5,-0.2,19.0,4.2,2.73,7.5,40.0,14.3,66.7,46.0,43.3,-6.0,40.0,45.96,-2.5,2.0,0.0,7.5,,0.0,2.0,0.0,1.0,0.0,1.0,9.5,0.15,NEUTRAL,0.96,0.2
1630639.0,A.J. Lawson,TOR,BOS,3,2.0,1.0,84,3.0,3.0,4.33,3.0,5.13,0.0,10.0,4.33,4.33,0.0,6.5,6.5,10.0,1.5,8.5,,5.0,-0.6,0.0,-1.7,7.67,-7.1,-1.43,5.0,33.3,33.3,,43.3,43.3,-8.7,33.33,43.33,-3.67,0.0,3.0,,4.33,0.0,2.33,0.0,0.0,0.0,0.0,6.67,0.22,EFFICIENCY,0.84,0.75
1630639.0,A.J. Lawson,TOR,CHA,2,0.0,2.0,359,2.0,2.0,8.0,8.0,8.49,2.0,14.0,8.0,8.0,0.0,,,8.0,,,,6.0,0.4,2.0,0.3,18.5,3.7,0.45,6.0,50.0,28.6,50.0,58.1,58.3,6.1,50.0,58.14,5.5,2.0,0.0,8.0,,1.0,3.5,3.5,0.5,1.0,0.0,15.0,0.15,NEUTRAL,0.94,0.2
1630639.0,A.J. Lawson,TOR,CHI,2,1.0,1.0,57,2.0,2.0,6.5,6.5,9.19,0.0,13.0,6.5,6.5,0.0,0.0,-13.0,0.0,13.0,-13.0,-13.0,3.0,-2.6,1.0,-0.7,6.5,-8.3,-2.99,3.0,83.3,66.7,50.0,94.5,100.0,42.5,83.33,94.48,-2.0,1.0,1.0,0.0,13.0,0.0,3.0,0.5,0.0,0.0,0.0,10.0,0.15,NEUTRAL,0.71,0.8
1630639.0,A.J. Lawson,TOR,DAL,1,0.0,1.0,357,1.0,1.0,12.0,12.0,,12.0,12.0,12.0,12.0,0.0,,,,12.0,,,10.0,4.4,6.0,4.3,32.0,17.2,6.21,10.0,30.0,25.0,83.3,47.5,35.0,-4.5,30.0,47.47,-10.0,0.0,1.0,,12.0,0.0,10.0,2.0,1.0,0.0,0.0,24.0,0.08,MINUTES,1.0,0.2
1630639.0,A.J. Lawson,TOR,DET,2,1.0,1.0,3,2.0,2.0,11.0,11.0,2.83,9.0,13.0,11.0,11.0,0.0,13.0,4.0,9.0,13.0,-4.0,,6.0,0.4,4.5,2.8,20.75,6.0,-0.13,6.0,50.0,57.1,66.7,68.9,66.7,16.9,50.0,68.92,7.0,0.0,2.0,,11.0,1.0,3.0,0.5,1.0,1.0,1.0,14.5,0.45,EFFICIENCY,3.89,1.0
1630639.0,A.J. Lawson,TOR,GSW,2,1.0,1.0,73,2.0,2.0,3.0,3.0,4.24,0.0,6.0,3.0,3.0,0.0,6.0,6.0,,3.0,,6.0,2.5,-3.1,1.0,-0.7,10.5,-4.3,-3.49,2.5,40.0,0.0,100.0,51.0,40.0,-1.0,40.0,51.02,1.5,1.0,1.0,6.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,4.5,0.15,MINUTES,0.71,0.6
1630639.0,A.J. Lawson,TOR,IND,2,2.0,0.0,54,2.0,2.0,2.5,2.5,3.54,0.0,5.0,2.5,2.5,0.0,2.5,,0.0,5.0,-5.0,,2.5,-3.1,0.0,-1.7,9.5,-5.3,-3.93,2.5,40.0,33.3,,50.0,50.0,-2.0,40.0,50.0,-9.5,2.0,0.0,2.5,,1.0,3.5,0.0,0.0,0.5,0.0,6.0,0.15,MINUTES,0.71,0.95
1630639.0,A.J. Lawson,TOR,LAC,1,1.0,0.0,77,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,2.0,-3.6,0.0,-1.7,13.0,-1.8,-2.43,2.0,0.0,0.0,,0.0,0.0,-52.0,0.0,0.0,-2.0,0.0,1.0,,0.0,0.0,3.0,2.0,1.0,0.0,2.0,5.0,0.08,EFFICIENCY,1.0,0.6
1630639.0,A.J. Lawson,TOR,LAL,1,1.0,0.0,75,1.0,1.0,5.0,5.0,,5.0,5.0,5.0,5.0,0.0,5.0,,,5.0,,,3.0,-2.6,2.0,0.3,6.0,-8.8,-2.55,3.0,33.3,50.0,100.0,64.4,50.0,12.4,33.33,64.43,-2.0,0.0,1.0,,5.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.08,EFFICIENCY,1.0,0.6
